1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
5698,2492,6242,5017,5092,3662,5616,6045,4784,3562,0,4637,5068,2889,5519,3305,4446,764,2941,1605,3762,2815,5982,3755,2584,2841,3656,6182,5131,907,3064,5143,4208,3856,579,4167,4811,3151,3912,2514,3388,4176,5156,1662,3733,3897,5935,4727,3397,1848,5403,5261,5150,4348,2637,2820,5185,5168,5127,2879,3314,6806,5794,4130,1898,1332,4122,2170,5608,3218,458,3668,4373,5848,849,3489,3627,2331,1954,3981,3715,3250,3838,2629,3800,3799,4784,4523,6353,3556,3625,973,4930,1770,1657,2700,4592,6219,4120,5413
3568,5986,3452,2108,9418,8284,3482,3455,7682,2116,4637,0,6154,3139,2079,7929,8747,5289,6917,6184,8024,7197,7651,7725,6825,1825,6966,9790,9352,3791,3925,2416,7235,2131,4109,8325,6012,3609,7019,7151,4789,8746,2216,3089,2945,8477,6746,4894,2376,5176,7463,5568,7603,7208,7187,6339,9220,3069,3038,6141,6439,6107,3193,4925,6503,5254,8501,4793,6061,7703,4845,3032,4865,3357,5282,6853,1699,4167,2856,8075,2536,7487,5847,3378,1314,6360,459,8578,3950,8024,8191,4864,2934,3488,5398,7180,2570,3477,1100,2612
3718,7539,9376,7915,9225,7124,9104,4253,2621,4058,5068,6154,0,6986,5078,6276,8718,4829,7771,6016,4985,4901,1524,4249,7265,5531,2960,4903,5692,4673,7566,4362,2623,4024,4768,4914,260,2704,2682,6123,8178,6415,4572,4513,3210,7572,868,1368,6925,3355,1597,960,2060,2388,6775,7843,5207,8611,3717,2894,8372,2493,4228,8816,6086,6387,5552,7139,827,5436,5515,3125,1292,4117,4669,8505,6618,7058,5659,4650,7306,4680,8834,6902,6462,8861,5885,4845,4116,7677,6042,6039,3669,3831,6715,7005,7961,4454,6606,4419
5945,3059,3415,2405,6630,5979,2738,6056,7443,3634,2889,3139,6986,0,4942,5908,5968,3647,4077,3953,6638,5679,8229,6638,4149,1800,6398,9045,8000,2572,809,4950,6884,3896,2690,7052,6760,4374,6601,5033,1675,6867,4836,2482,4352,6038,7791,6135,835,4438,7781,6808,7668,6974,4785,3376,8074,2312,5315,5558,3364,7962,5771,2005,4287,2709,6962,1821,7262,6024,2789,4363,5905,5898,3737,3803,1466,1136,1331,6869,963,6134,2719,324,1838,3223,3520,7411,6506,5441,6340,2480,5136,3179,2707,4680,1805,6154,2121,5219
1693,7422,5418,4165,10588,9110,5540,1430,7165,1988,5519,2079,5078,4942,0,8578,9929,5988,8231,7122,8237,7570,6596,7766,8013,3238,6743,9452,9447,4613,5750,717,6838,1725,4941,8438,5013,3182,6690,7924,6616,9242,521,3864,2279,9393,5460,3711,4292,5343,6596,4278,6891,6735,8153,7790,9185,5142,1388,6036,8012,4350,1207,6866,7400,6487,8781,6343,4737,8138,5858,2389,3843,1380,5926,8378,3637,5808,4219,8164,4524,7725,7642,5113,3267,8069,1620,8601,1922,9074,8705,6054,1410,3891,6706,8217,4647,1417,3134,712
8358,3630,9321,8223,3085,894,8608,8803,4471,6592,3305,7929,6276,5908,8578,0,2740,2648,2959,1960,1760,1379,6421,2427,2417,6146,3472,4458,2646,4141,5766,8083,4034,6854,3820,2183,6038,5658,3818,880,5656,994,8147,4872,6480,1373,7045,6642,6569,3406,5696,6909,5163,4296,1443,3640,3051,8211,7888,3390,4240,8620,8592,6408,1633,3254,1587,4423,7054,925,3194,6387,6245,8603,2678,4016,6892,4974,5232,2245,6836,1729,5481,5597,7092,5005,8047,2589,9001,1799,598,3428,7705,4691,3378,1720,7706,9001,7415,8328
10123,2924,9101,8356,672,1876,8295,10487,7176,7999,4446,8747,8718,5968,9929,2740,0,4181,1893,2910,4496,4007,9062,5161,1929,6940,6114,7107,5166,5336,5476,9584,6705,8296,5019,4901,8465,7488,6465,2602,4967,3333,9590,6072,8158,1415,9539,8823,6784,5488,8346,9212,7844,6958,1966,2656,5670,8016,9565,5852,2960,10890,10238,5556,2721,3497,4239,4152,9438,3655,4075,8086,8433,10288,4305,2523,7312,4837,5895,4982,6919,4442,4300,5650,7619,3621,8994,5291,10779,1041,3261,3907,9369,6199,3354,1792,7682,10663,7943,9856
5973,2768,7006,5773,4791,3122,6378,6366,4199,4002,764,5289,4829,3647,5988,2648,4181,0,2951,1278,2999,2053,5578,3013,2479,3530,3040,5456,4366,1498,3778,5545,3622,4280,1186,3406,4569,3310,3325,1937,4021,3466,5586,2224,4021,3422,5693,4698,4160,1477,4952,5158,4636,3791,2250,3042,4427,5931,5441,2335,3609,6785,6131,4781,1475,1680,3363,2748,5452,2472,951,3942,4319,6166,164,3693,4371,3018,2699,3224,4479,2488,4342,3380,4526,4195,5399,3766,6629,3207,2912,1477,5249,2109,1998,2389,5356,6552,4841,5804
8604,1037,7238,6464,2554,2493,6441,8920,6762,6367,2941,6917,7771,4077,8231,2959,1893,2951,0,1789,4530,3723,8407,4996,587,5137,5601,7311,5599,3751,3594,7952,6218,6670,3467,4996,7511,6092,5937,2274,3147,3895,7932,4436,6648,2316,8631,7618,4895,4417,7735,8103,7328,6437,1527,823,5958,6143,8015,5096,1324,9706,8657,3802,1832,1748,4513,2259,8403,3645,2503,6590,7248,8726,3107,1057,5436,2944,4089,4971,5027,4258,2660,3759,5753,2089,7190,5419,9255,1583,3554,2187,7816,4697,1533,1240,5793,9082,6074,8230
7219,1956,7363,6293,3532,2108,6648,7595,5006,5155,1605,6184,6016,3953,7122,1960,2910,1278,1789,0,3058,2133,6618,3375,1252,4364,3836,5794,4314,2511,3815,6728,4452,5446,2182,3524,5757,4579,4167,1081,3772,2937,6750,3267,5258,2301,6869,5966,4637,2678,5948,6405,5551,4664,1032,2115,4548,6252,6672,3308,2737,8050,7352,4539,336,1304,3213,2500,6677,2257,1339,5184,5583,7396,1413,2693,5004,3020,3381,3434,4890,2674,3772,3640,5235,3440,6361,3938,7876,1966,2436,1476,6477,3308,1473,1123,5755,7776,5563,6994
7679,4990,10004,8749,4800,2628,9374,8175,2826,6328,3762,8024,4985,6638,8237,1760,4496,2999,4530,3058,0,968,4855,764,3950,6391,2027,2782,1370,4362,6698,7644,2482,6541,4105,470,4777,5093,2333,2256,6787,1468,7754,4965,5989,3105,5663,5640,7153,2911,4129,5757,3553,2749,3024,5091,1492,8929,7308,2326,5715,7447,8007,7559,2829,4284,582,5492,5805,893,3868,5883,5258,7983,2928,5570,7323,5909,5667,486,7477,538,6827,6362,7440,6454,8043,892,8285,3554,1260,4290,7147,4550,4509,3321,8353,8385,7741,7854
7176,4085,9057,7822,4422,2252,8416,7647,3176,5617,2815,7197,4901,5679,7570,1379,4007,2053,3723,2133,968,0,5068,1273,3136,5512,2114,3661,2321,3467,5730,7019,2699,5852,3192,1414,4666,4508,2464,1500,5828,1695,7108,4113,5376,2721,5667,5327,6212,2243,4347,5557,3837,2953,2284,4215,2450,7976,6750,2027,4841,7269,7455,6600,1940,3327,1320,4532,5686,588,2902,5275,4933,7450,1996,4735,6409,4941,4743,1302,6530,543,5904,5400,6543,5563,7247,1817,7805,2991,1203,3323,6577,3768,3562,2576,7407,7851,6851,7247
5180,8346,10809,9348,9490,7311,10491,5705,2055,5542,5982,7651,1524,8229,6596,6421,9062,5578,8407,6618,4855,5068,0,4092,7856,6903,2954,3942,5197,5770,8738,5880,2392,5528,5796,4644,1639,4120,2605,6478,9271,6322,6092,5752,4709,7785,1356,2885,8258,4144,728,2365,1315,2128,7210,8613,4627,9996,5226,3310,9187,3428,5705,9954,6614,7235,5359,8137,1993,5511,6397,4620,2808,5583,5414,9253,8008,8155,6900,4426,8642,4704,9819,8108,7881,9754,7395,4449,5517,8030,6060,6944,5185,5051,7562,7473,9343,5898,8046,5928
7095,5330,9934,8623,5504,3317,9348,7604,2073,5915,3755,7725,4249,6638,7766,2427,5161,3013,4996,3375,764,1273,4092,0,4409,6184,1291,2459,1682,4215,6789,7144,1718,6104,4000,701,4048,4589,1579,2757,6973,2232,7269,4736,5494,3796,4909,4974,7077,2550,3366,5048,2794,1985,3543,5476,1499,8887,6761,1743,6102,6725,7451,7743,3205,4495,1306,5677,5073,1505,3946,5385,4602,7416,2907,6006,7177,6019,5561,420,7421,746,7124,6384,7256,6814,7704,854,7683,4180,1988,4426,6610,4239,4756,3838,8286,7816,7542,7340
8282,1300,7428,6554,2599,2051,6650,8622,6185,6102,2584,6825,7265,4149,8013,2417,1929,2479,587,1252,3950,3136,7856,4409,0,5014,5027,6731,5042,3447,3767,7690,5645,6402,3142,4416,7006,5709,5366,1695,3440,3377,7686,4168,6317,1963,8120,7175,4939,3920,7178,7635,6760,5867,974,1235,5387,6320,7707,4547,1823,9262,8367,4145,1256,1571,3949,2383,7918,3067,2180,6252,6798,8426,2628,1622,5431,3048,3970,4386,5112,3671,3099,3825,5723,2590,7067,4840,8937,1299,3006,1978,7509,4354,1459,710,5920,8792,6049,7965
4146,4249,3960,2531,7611,6468,3588,4269,6495,1849,2841,1825,5531,1800,3238,6146,6940,3530,5137,4364,6391,5512,6903,6184,5014,0,5610,8412,7747,2048,2590,3170,5984,2100,2344,6732,5332,2831,5731,5347,3433,6996,3072,1449,2622,6653,6277,4519,1429,3683,6561,5209,6567,6012,5363,4612,7682,3093,3515,4753,4788,6228,3985,3802,4686,3443,6831,3118,5686,5986,3025,2650,4343,4106,3543,5171,1112,2570,1048,6500,1797,5854,4428,1911,1082,4832,2056,7024,4712,6201,6442,3044,3337,2044,3607,5356,2440,4376,1358,3444
5924,5711,9514,8128,6536,4359,9009,6446,1175,5008,3656,6966,2960,6398,6743,3472,6114,3040,5601,3836,2027,2114,2954,1291,5027,5610,0,2825,2847,3838,6699,6086,617,5156,3713,1971,2758,3573,351,3547,7038,3474,6232,4185,4468,4832,3643,3720,6697,1973,2234,3761,1746,850,4302,5927,2476,8527,5642,860,6535,5434,6314,7786,3772,4703,2591,5783,3782,2571,3975,4357,3360,6264,2890,6527,6678,5987,5181,1699,7065,1774,7376,6189,6692,7182,6881,1974,6488,5087,3146,4515,5505,3572,5007,4576,7895,6659,6948,6258
8434,7745,12272,10913,7291,5244,11725,8972,2336,7805,6182,9790,4903,9045,9452,4458,7107,5456,7311,5794,2782,3661,3942,2459,6731,8412,2825,0,1998,6547,9234,8767,2616,7934,6369,2315,4813,6333,2789,5037,9431,3785,8933,6972,7205,5692,5205,6069,9428,4735,3405,5857,2852,2725,5799,7863,1439,11253,8252,3668,8489,7281,8882,10201,5591,6951,2881,8136,5669,3668,6398,7094,5784,8807,5341,8351,9461,8471,7904,2363,9785,3121,9563,8803,9494,9220,9695,1893,8926,6247,3879,6884,8140,6385,7206,6095,10635,9184,9759,8911
8751,6187,11372,10118,5311,3337,10737,9266,3177,7587,5131,9352,5692,8000,9447,2646,5166,4366,5599,4314,1370,2321,5197,1682,5042,7747,2847,1998,0,5726,8035,8825,3069,7782,5473,1028,5523,6271,3047,3377,8080,1834,8951,6313,7176,3760,6238,6565,8523,4193,4516,6561,3902,3307,4073,6243,617,10296,8434,3421,6856,8185,9120,8849,4047,5584,1106,6794,6518,2057,5221,7067,6207,9080,4298,6655,8691,7242,7037,1290,8846,1899,8043,7720,8802,7614,9351,874,9327,4372,2049,5623,8286,5866,5785,4359,9722,9479,9101,9019
4853,3149,5730,4409,5987,4552,5182,5178,4872,2664,907,3791,4673,2572,4613,4141,5336,1498,3751,2511,4362,3467,5770,4215,3447,2048,3838,6547,5726,0,2979,4249,4313,2961,331,4722,4426,2429,4031,3388,3514,4959,4256,756,2899,4800,5525,4122,2880,1869,5268,4717,5115,4404,3543,3505,5700,4707,4267,2991,3917,6162,4920,4185,2801,2034,4787,2491,5110,3939,1267,2845,3802,4982,1498,4164,2969,2394,1357,4502,3239,3828,4178,2390,3079,4281,3910,5036,5504,4461,4405,1602,4068,984,2325,3604,4089,5346,3384,4521
6732,2557,3661,2921,6122,5717,2888,6856,7795,4402,3064,3925,7566,809,5750,5766,5476,3778,3594,3815,6698,5730,8738,6789,3767,2590,6699,9234,8035,2979,0,5752,7224,4673,3015,7135,7331,5027,6932,4886,868,6751,5641,3063,5085,5715,8392,6799,1564,4787,8247,7458,8084,7339,4520,2827,8169,2555,6100,5887,2706,8680,6571,1268,4135,2513,6962,1389,7898,6006,2846,5087,6544,6695,3895,3163,2232,797,1950,6978,1542,6221,1922,704,2614,2467,4317,7516,7301,5065,6249,2413,5919,3735,2414,4371,2214,6957,2876,6022
1153,7203,5855,4521,10234,8660,5890,1111,6469,1588,5143,2416,4362,4950,717,8083,9584,5545,7952,6728,7644,7019,5880,7144,7690,3170,6086,8767,8825,4249,5752,0,6156,1288,4567,7825,4297,2556,6018,7471,6602,8703,229,3523,1655,8966,4757,2996,4389,4778,5881,3571,6181,6046,7754,7572,8542,5461,700,5405,7844,3756,828,6928,6989,6204,8198,6191,4036,7594,5513,1762,3128,972,5468,8185,3774,5710,4061,7548,4666,7142,7595,5080,3432,7968,1986,7971,1584,8692,8175,5765,696,3437,6448,7839,4915,1206,3365,281
5878,6318,9922,8514,7112,4927,9449,6412,578,5210,4208,7235,2623,6884,6838,4034,6705,3622,6218,4452,2482,2699,2392,1718,5645,5984,617,2616,3069,4313,7224,6156,0,5327,4217,2329,2456,3724,297,4153,7596,3949,6319,4590,4590,5403,3213,3572,7136,2448,1665,3502,1139,268,4913,6538,2601,8962,5658,1337,7144,5116,6305,8336,4389,5295,3013,6354,3449,3120,4546,4479,3246,6239,3469,7142,7073,6529,5634,2083,7510,2313,7964,6689,7059,7785,7114,2226,6407,5684,3669,5091,5539,3941,5603,5189,8322,6625,7300,6306
2071,5941,5464,4024,8947,7401,5323,2280,5719,304,3856,2131,4024,3896,1725,6854,8296,4280,6670,5446,6541,5852,5528,6104,6402,2100,5156,7934,7782,2961,4673,1288,5327,0,3279,6764,3888,1604,5146,6213,5495,7518,1306,2237,818,7696,4622,2772,3469,3635,5373,3454,5560,5261,6474,6310,7553,4852,1439,4400,6606,4201,2005,5900,5712,4923,7077,4972,3947,6416,4225,913,2734,2096,4211,6933,2950,4536,2862,6493,3799,6023,6447,3978,2681,6775,1873,6949,2675,7408,6981,4484,1250,2174,5173,6554,4238,2425,2732,1562
5144,2919,5935,4646,5667,4222,5358,5481,4785,2984,579,4109,4768,2690,4941,3820,5019,1186,3467,2182,4105,3192,5796,4000,3142,2344,3713,6369,5473,331,3015,4567,4217,3279,0,4479,4516,2656,3928,3060,3477,4652,4578,1087,3183,4469,5628,4302,3077,1774,5263,4873,5073,4326,3214,3267,5472,4891,4566,2883,3710,6363,5226,4178,2470,1779,4512,2372,5248,3646,967,3123,3967,5284,1203,3932,3220,2367,1567,4269,3423,3575,4067,2476,3353,4119,4236,4807,5798,4135,4098,1361,4368,1232,2085,3278,4287,5652,3664,4838
7794,5459,10400,9124,5171,3025,9783,8301,2591,6565,4167,8325,4914,7052,8438,2183,4901,3406,4996,3524,470,1414,4644,701,4416,6732,1971,2315,1028,4722,7135,7825,2329,6764,4479,0,4721,5269,2232,2722,7242,1729,7946,5294,6172,3495,5542,5672,7544,3166,3927,5732,3330,2590,3485,5561,1036,9333,7454,2435,6185,7398,8146,8014,3298,4740,731,5946,5740,1353,4296,6064,5301,8112,3324,6038,7690,6349,6046,282,7875,919,7295,6782,7792,6924,8323,423,8384,3982,1640,4733,7300,4839,4971,3782,8749,8513,8087,8025
3716,7280,9199,7737,8976,6882,8911,4254,2503,3906,4811,6012,260,6760,5013,6038,8465,4569,7511,5757,4777,4666,1639,4048,7006,5332,2758,4813,5523,4426,7331,4297,2456,3888,4516,4721,0,2513,2493,5873,7935,6197,4501,4283,3070,7328,1127,1330,6717,3095,1596,1056,1997,2233,6521,7583,5052,8417,3670,2652,8114,2678,4212,8577,5829,6128,5347,6888,1029,5207,5257,2980,1181,4110,4409,8245,6425,6814,5431,4454,7099,4458,8583,6670,6279,8606,5757,4669,4147,7425,5815,5782,3609,3597,6457,6749,7766,4459,6431,4370
2703,5571,6690,5229,8101,6318,6400,3148,4119,1510,3151,3609,2704,4374,3182,5658,7488,3310,6092,4579,5093,4508,4120,4589,5709,2831,3573,6333,6271,2429,5027,2556,3724,1604,2656,5269,2513,0,3547,5143,5730,6202,2681,1995,905,6674,3450,1772,4238,2270,3866,2435,3995,3659,5557,5922,6003,5907,2242,2855,6346,3745,2948,6295,4783,4435,5651,4873,2890,5091,3597,796,1533,2949,3195,6585,3915,4638,3078,4992,4616,4597,6523,4335,3767,6689,3429,5420,3351,6516,5689,4015,2069,1446,4740,5698,5258,3349,3926,2762
5792,6025,9660,8258,6885,4707,9177,6321,875,5017,3912,7019,2682,6601,6690,3818,6465,3325,5937,4167,2333,2464,2605,1579,5366,5731,351,2789,3047,4031,6932,6018,297,5146,3928,2232,2493,3547,0,3897,7299,3791,6174,4326,4427,5180,3331,3531,6864,2163,1883,3519,1398,502,4650,6248,2623,8692,5543,1046,6852,5169,6203,8041,4111,4998,2885,6057,3508,2913,4249,4317,3187,6144,3172,6855,6814,6235,5358,1971,7237,2112,7667,6402,6808,7490,6911,2182,6338,5438,3481,4793,5416,3687,5307,4924,8054,6534,7055,6178
7840,2814,8444,7362,3105,1189,7729,8257,4656,5938,2514,7151,6123,5033,7924,880,2602,1937,2274,1081,2256,1500,6478,2757,1695,5347,3547,5037,3377,3388,4886,7471,4153,6213,3060,2722,5873,5143,3897,0,4792,1867,7517,4136,5914,1534,6939,6311,5707,2981,5769,6655,5291,4397,786,2868,3695,7334,7334,3249,3486,8351,8031,5550,752,2374,2274,3548,6858,1372,2353,5828,5915,8057,2003,3317,6050,4094,4403,2701,5967,2012,4671,4721,6264,4239,7294,3145,8492,1562,1394,2554,7145,4040,2505,1081,6834,8449,6590,7726
7562,2147,4156,3641,5585,5473,3339,7703,8173,5217,3388,4789,8178,1675,6616,5656,4967,4021,3147,3772,6787,5828,9271,6973,3440,3433,7038,9431,8080,3514,868,6602,7596,5495,3477,7242,7935,5730,7299,4792,0,6650,6497,3737,5862,5400,9022,7498,2418,5208,8738,8140,8524,7735,4304,2330,8277,3104,6930,6267,2053,9430,7418,772,4062,2502,6983,1297,8564,6025,3071,5856,7222,7538,4159,2517,3092,1121,2694,7114,2349,6346,1064,1523,3476,1667,5184,7642,8142,4702,6184,2554,6745,4369,2299,4108,2897,7808,3729,6875
8870,4615,10282,9153,3511,1513,9580,9342,4285,7274,4176,8746,6415,6867,9242,994,3333,3466,3895,2937,1468,1695,6322,2232,3377,6996,3474,3785,1834,4959,6751,8703,3949,7518,4652,1729,6197,6202,3791,1867,6650,0,8787,5662,7066,1925,7116,6970,7505,3934,5596,7146,5016,4216,2409,4609,2346,9175,8444,3635,5197,8850,9150,7402,2616,4238,999,5415,7226,1111,4116,6966,6579,9144,3464,4946,7795,5957,6125,1906,7783,1743,6461,6560,7976,5965,8833,2055,9497,2557,554,4391,8270,5396,4370,2669,8657,9546,8295,8935
1363,7162,5646,4324,10243,8706,5696,1263,6644,1594,5156,2216,4572,4836,521,8147,9590,5586,7932,6750,7754,7108,6092,7269,7686,3072,6232,8933,8951,4256,5641,229,6319,1306,4578,7946,4501,2681,6174,7517,6497,8787,0,3519,1776,9002,4979,3208,4249,4872,6081,3791,6371,6215,7779,7531,8680,5273,929,5536,7787,3981,988,6802,7018,6184,8303,6127,4258,7681,5515,1885,3328,1145,5514,8136,3623,5629,3994,7670,4516,7247,7500,4978,3273,7890,1779,8101,1750,8711,8255,5747,915,3478,6420,7856,4736,1328,3191,403
4195,3749,5335,3944,6727,5305,4870,4487,5120,1935,1662,3089,4513,2482,3864,4872,6072,2224,4436,3267,4965,4113,5752,4736,4168,1449,4185,6972,6313,756,3063,3523,4590,2237,1087,5294,4283,1995,4326,4136,3737,5662,3519,0,2280,5556,5331,3761,2565,2238,5326,4406,5260,4639,4298,4114,6235,4379,3591,3325,4466,5724,4223,4325,3557,2693,5424,2911,4838,4615,1997,2245,3488,4295,2202,4756,2494,2642,1151,5057,2946,4427,4536,2390,2527,4739,3177,5578,4838,5211,5108,2253,3392,702,2955,4354,3735,4647,2807,3799
1966,6020,6227,4775,8789,7099,6038,2345,4954,871,3733,2945,3210,4352,2279,6480,8158,4021,6648,5258,5989,5376,4709,5494,6317,2622,4468,7205,7176,2899,5085,1655,4590,818,3183,6172,3070,905,4427,5914,5862,7066,1776,2280,0,7432,3829,1988,4046,3133,4559,2680,4762,4506,6266,6383,6906,5556,1421,3760,6746,3613,2118,6343,5492,4931,6543,5174,3172,5956,4149,111,1922,2145,3926,7031,3600,4828,3169,5896,4401,5488,6748,4380,3375,7001,2691,6325,2622,7218,6544,4494,1231,1963,5212,6381,4925,2535,3468,1872
